Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-09-26 14:19:30.659 -0400,"Success",0:00:01,0,0,0,"20240926_141930.659/LogFile.txt","","",1
2024-09-26 14:33:42.613 -0400,"Success",0:00:02,0,0,0,"20240926_143342.613/LogFile.txt","","",1
2024-09-26 16:00:36.584 -0400,"Aborted",0:00:47,1,0,0,"20240926_160036.584/LogFile.txt","","",0
2024-09-26 16:02:13.717 -0400,"Success",0:00:08,0,0,0,"20240926_160213.717/LogFile.txt","","",1
2024-09-30 14:19:55.644 -0400,"Success",0:00:19,0,0,0,"20240930_141955.644/LogFile.txt","","",1
