Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-05-24 16:26:20.432 -0400,"Success",0:00:30,0,0,0,"20240524_162620.432/LogFile.txt","","",1
2024-05-24 16:27:03.591 -0400,"Success",0:00:06,0,0,0,"20240524_162703.591/LogFile.txt","","",1
2024-05-24 16:27:33.775 -0400,"Aborted",0:00:35,1,0,0,"20240524_162733.775/LogFile.txt","","",0
2024-05-24 16:28:52.784 -0400,"Success",0:00:31,0,0,0,"20240524_162852.784/LogFile.txt","","",1
2024-05-24 16:33:15.517 -0400,"Aborted",0:00:16,1,0,0,"20240524_163315.517/LogFile.txt","","",0
2024-10-02 14:24:21.461 -0400,"Success",0:00:25,0,0,0,"20241002_142421.461/LogFile.txt","","",1
