Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
_Master,Failure,34,16,2024-05-24 10:23:00 -0400,2024-10-11 10:24:40 -0400,0:01:32
PlotSyringeActivity,Success,2,0,2024-10-02 15:08:33 -0400,2024-10-02 15:09:51 -0400,0:00:24
Turn Off Pump,Success,4,0,2024-09-26 14:19:30 -0400,2024-09-30 14:19:55 -0400,0:00:08
StartInjection,Success,5,0,2024-10-01 16:31:11 -0400,2024-10-01 16:34:02 -0400,0:00:04
Launch Pump,Success,4,0,2024-05-24 16:26:20 -0400,2024-10-02 14:24:21 -0400,0:00:23
